name,lat,lon,region,division,subdivision
7th Days Adventist,4.145664,9.248235,South-West,Fako,Buea
A& H Medical Foundation,4.029978,9.193073,South-West,Fako,LimbÃ© II
AAH MOBILE CLINIC SITE,4.610523,9.385827,South-West,Meme,Kumba I
AAH MOBILE CLINIC SITE MBOKA,5.294372,9.424118,South-West,Kupe-Manenguba,Nguti
ASPCA Cabinet Soin,3.94369,11.515993,Centre,Lekie,YaoundÃ© I
Acha Annex,5.456678,10.423213,West,Koung-Khi,Bafoussam I
Action Santé Développement,3.892248,11.540181,Centre,Mefou-et-Afamba,YaoundÃ© V
Ad Lucem Hospital Logbessou,4.083199,9.783799,Littoral,Wouri,Douala V
Administratif de l'hopital de district,5.547802,12.299169,Centre,Mbam-et-Kim,Yoko
Advanced Médical Center,3.836515,11.483088,Centre,Mfoundi,YaoundÃ© VI
Afamba,4.166391,11.535106,Centre,Lekie,Obala
Africa Pharmacy,4.09451,9.647463,Littoral,Wouri,Douala IV
African Genesic Health Center,3.872873,11.550572,Centre,Mfoundi,YaoundÃ© IV
Afrika Optic Médical,2.950318,9.924328,South,Ocean,Kribi II
Akwaja Integrated Health Center.,6.720414,10.780645,North-West,Donga-Mantung,Ako
Alhysca,3.896538,11.512234,Centre,Lekie,YaoundÃ© I
Allat Baptist Health Center,6.663498,11.714467,Adamaoua,Mayo-Banyo,Banyo
Alliance Divine,3.898735,11.536427,Centre,Mefou-et-Afamba,YaoundÃ© V
Alpha Clinical Health Centre Mambanda,4.0721,9.666975,Littoral,Wouri,Douala IV
Amazing Pharmacy,4.156216,9.288147,South-West,Fako,Buea
Ambam District Hospital,2.376131,11.264167,South,Vallee-du-Ntem,Ambam
Ananaraie,3.833811,11.536452,Centre,Mfoundi,YaoundÃ© IV
Apostolic Church of Cameroon Medical Institutions,4.008108,9.729864,Littoral,Wouri,Douala II
Apostolic Church of Cameroon Medical Institutions,4.008256,9.728914,Littoral,Wouri,Douala II
Apsad,3.897514,11.540436,Centre,Mefou-et-Afamba,YaoundÃ© V
Arab Contractor Residence,3.932166,11.52256,Centre,Lekie,YaoundÃ© I
Association Camerounaise pour la Sauvegarde de la Santé du Démunie,3.868049,11.563074,Centre,Mfoundi,YaoundÃ© IV
Association Sociale pour la Réadaptation et le Sions de Jeunes,12.078085,15.029627,Far North,Logone-Et-Chari,KoussÃ©ri
Association Sociale pour la Réadaptation et le sions de Jeunes,12.075317,15.026041,Far North,Logone-Et-Chari,KoussÃ©ri
Association des Conseils et Economie Social et Familliale au Cameroun,3.889201,11.519247,Centre,Lekie,YaoundÃ© I
Atelier ethnbotanique Pr Noumi,3.862802,11.503107,Centre,Mfoundi,YaoundÃ© VI
Aura Cameroun,3.868211,11.517107,Centre,Mfoundi,YaoundÃ© I
Avicenne,3.876099,11.549197,Centre,Mfoundi,YaoundÃ© V
BEBETA MEMORIAL COMMUNITY CLINIC BOKOAI,4.169037,9.278645,South-West,Fako,Buea
Balm of Gilead Health Center,4.011333,9.20797,South-West,Fako,LimbÃ© I
Bambalang Health Centre,5.891213,10.522824,North-West,Ngo-ketunjia,Ndop
Bamenda Polyclinic,5.9459,10.139368,North-West,Mezam,Bamenda II
Bamenda Regional Hospital,5.955483,10.144149,North-West,Mezam,Bamenda II
Bamessing Health Centre,5.971141,10.347112,North-West,Mezam,Tubah
Bamunka Health Centre,5.985637,10.432695,North-West,Ngo-ketunjia,Ndop
Bamunka Rural Health Centre,5.974174,10.487538,North-West,Ngo-ketunjia,Ndop
Bangem Hospital,5.07912,9.77155,South-West,Kupe-Manenguba,Bangem
Bangolan Baptist Health Center,5.931666,10.634347,North-West,Ngo-ketunjia,Babessi
Banso Baptist Hospital,6.213647,10.689492,North-West,Bui,Kumbo
Baptist Hospital Banyo,6.749959,11.830564,Adamaoua,Mayo-Banyo,Banyo
Baptist Hospital Mutengene,4.088784,9.311617,South-West,Fako,Tiko
Baptist hospital,4.088439,9.311969,South-West,Fako,Tiko
Bb Diagnostics,3.889554,11.542223,Centre,Mefou-et-Afamba,YaoundÃ© V
Belo Baptist Health Center,6.176448,10.353373,North-West,Boyo,Belo
Benoit Menni,3.838872,11.504247,Centre,Mfoundi,YaoundÃ© III
Bethel,9.320198,13.381058,North,Benoue,Garoua I
Biaka Junction,4.158968,9.27466,South-West,Fako,Buea
Bikob Former hospital,4.350932,10.421454,Littoral,Nkam,Yingui
Buea Regional Hospital,4.148197,9.236534,South-West,Fako,Buea
Buea health district and cross health center,4.134505,9.221297,South-West,Fako,Buea
Bureau régional de la médécine traditionnelle de l'extreme nord groupement des associations des tradipraticiens et assimilés de l'extreme nord,10.598286,14.324924,Far North,Diamare,Maroua I
Béatitudes,3.845839,11.492797,Centre,Mfoundi,YaoundÃ© III
C. Houm,3.521418,11.498119,Centre,Nyong-et-So,Mbalmayo
C.S.C E,4.025741,9.193647,South-West,Fako,LimbÃ© II
CABINET DES SOINS LES DELICES,3.859709,11.493565,Centre,Mfoundi,YaoundÃ© III
CAI,3.91,11.525572,Centre,Lekie,YaoundÃ© I
CDC Hospital,4.025101,9.195703,South-West,Fako,LimbÃ© II
CENTRE DE SANTE LUMEN-CHRISTI,2.049736,15.225758,East,Boumba-Et-Ngoko,Mouloundou
CENTRE MEDICAL DE NZIOU<<MPUMA NWET>>,2.980062,9.933469,South,Ocean,Kribi II
