name,lat,lon,population
Maroua,10.603308,14.328162,3119000
Douala,4.042939,9.706202,2000000
Yaoundé,3.868987,11.521334,1817524
Bamenda,5.961412,10.151651,1735000
Garoua,9.30707,13.393453,1703000
Buea,4.15679,9.231592,1325000
Ngaoundéré,7.321154,13.587821,903000
Ebolowa,2.919384,11.151663,641000
Dschang,5.446992,10.053309,200000
Kaélé,10.109574,14.446062,141431
Bibemi,9.312913,13.870952,133191
Kumbo,6.210889,10.686779,120000
Foumban,5.728226,10.89716,120000
Banyo,6.748547,11.804578,120000
Edéa,3.799013,10.126557,120000
Kribi,2.94341,9.912699,120000
Nkongsamba,4.952511,9.939167,120000
Kumba,4.637837,9.440945,120000
Sangmélima,2.936176,11.975646,120000
Mfou,3.715882,11.643211,120000
Bafoussam,5.475884,10.421785,120000
Tcholliré,8.40333,14.167524,120000
Poli,8.476435,13.242392,120000
Tignère,7.373248,12.652921,120000
Akonolinga,3.77339,12.244917,120000
Mbalmayo,3.515197,11.503114,120000
Lomié,3.15982,13.618294,120000
Yokadouma,3.515279,15.051033,120000
Monatélé,4.258913,11.204417,120000
Ntui,4.445931,11.628121,120000
Éséka,3.641307,10.774176,120000
Abong-Mbang,3.988409,13.171724,120000
Moloundou,2.043603,15.216573,120000
Yabassi,4.460432,9.970906,120000
Meiganga,6.517212,14.294788,120000
Guider,9.930253,13.946755,120000
Yagoua,10.34443,15.226587,120000
Air men city,3.795844,11.499773,120000
Tibati,6.465858,12.625125,120000
Mbouda,5.627374,10.254744,120000
Bamenda,9.445199,13.54718,120000
Bafang,5.158664,10.179748,120000
Bertoua,4.577616,13.684379,120000
Bafia,4.739933,11.220593,120000
Ambam,2.385071,11.266919,120000
Limbé,4.010289,9.207058,118210
Kousséri,12.083118,15.019126,101246
Bamendjou,5.389403,10.331205,70000
Batouri,4.435635,14.364746,67000
Bangangté,5.139613,10.523541,63595
Goulfey,12.381567,14.90233,58117
Mora,11.048445,14.134284,53667
Logone-Birni,11.780627,15.103912,52589
Mokolo,10.74103,13.798742,40168
Pitoa,9.386126,13.501115,28636
Lagdo,9.05748,13.665359,28239
Kalfou,10.28522,14.929658,26223
Zina,11.263815,14.96483,25572
Nkambe,6.578383,10.706239,22000
Bali,5.887897,10.011026,22000
Wum,6.387798,10.076639,22000
Malentouen,5.712719,11.117803,22000
Bana,5.148761,10.275812,22000
Mandjou,4.593884,13.739505,22000
Mbandjock,4.446195,11.902462,22000
Tonga,4.969409,10.699308,22000
Mbengwi,6.003224,10.01384,22000
Loum,4.720054,9.727499,22000
Tombel,4.750007,9.669199,22000
Penja,4.640799,9.682914,22000
Mogodé,10.608123,13.570404,22000
Gazawa,10.536546,14.140218,22000
Roumsiki,10.512309,13.585326,22000
Boula-Ibi,9.55774,13.763022,22000
Gouna,8.524341,13.56405,22000
Bindiba,6.507851,14.086067,22000
Pouss,10.846776,15.056651,22000
Waza,11.400455,14.568122,22000
Fotokol,12.376772,14.224692,22000
Gari-Gombo,3.933695,15.110376,22000
Yola,4.02483,15.021958,22000
Ndélélé,4.041919,14.928217,22000
Campo,2.377959,9.829926,22000
Bipindi,3.077905,10.411281,22000
Bazou,5.062822,10.468748,22000
Djoum,2.672272,12.678067,22000
Meyomessi,2.816982,12.206767,22000
Bourah,10.251725,13.510895,22000
Mintom II,2.695245,13.286959,22000
Ayos,3.903187,12.52445,22000
Mengang,3.891043,12.059813,22000
Doualayel,7.011539,12.660776,22000
Galim-Tignère,7.098118,12.473957,22000
Mutengene,4.09011,9.316958,22000
Obala,4.165713,11.534664,22000
Makenene,4.882633,10.808631,22000
Kentzou,4.17353,15.031607,22000
Nguélébok,4.27165,14.049995,22000
Babadjou,5.678624,10.205076,22000
Magba,5.965742,11.225171,22000
Batcham,5.578226,10.201842,22000
Ngoro,4.959198,11.384583,22000
Foumbot,5.510861,10.638147,22000
Nkolmetet,3.441825,11.765163,22000
Makepe,4.063812,9.740959,22000
Deido,4.063763,9.715183,22000
Moutourwa,10.198151,14.173601,22000
Figuil,9.760531,13.959974,22000
Limani,11.232026,14.170273,22000
Ngoulemakong,3.081121,11.42225,22000
Mengong,2.936744,11.400536,22000
Santa,5.796164,10.162518,22000
Muyuka,4.286208,9.407718,22000
Fongo-Tongo,5.510858,9.984977,22000
Eyumodjock,5.768175,8.983998,22000
Garoua-Boulaï,5.894846,14.547159,22000
Touboro,7.768922,15.347024,22000
Meidougou,6.419322,14.218273,22000
Nkolafamba,3.854491,11.666118,22000
Ndop,5.989248,10.436179,22000
Okola,4.024111,11.381476,22000
Bandenkop,5.254926,10.346209,22000
Mbanga,4.499078,9.565737,22000
Njombé,4.586724,9.652932,22000
Deuk,4.937926,11.260791,22000
Kontcha,7.973652,12.236591,22000
Jakiri,6.084559,10.638271,22000
Touloum,10.182143,14.835593,22000
Hina,10.368786,13.851235,22000
Mindif,10.401439,14.442565,22000
Soa,3.97818,11.593129,22000
Nkor,6.391392,10.584319,22000
Doukoula,10.118529,14.97102,22000
Datchéka,10.012208,15.108255,22000
Akono,3.501534,11.328169,22000
Makak,3.547974,11.027836,22000
Mvengue,3.287925,10.971664,22000
Menguémé,3.243696,11.396217,22000
Esse,4.096618,11.884756,22000
Mayo Darlé,6.50165,11.554673,22000
Manjo,4.847522,9.823031,22000
Dizangué,3.746589,10.01806,22000
Martap,6.891052,13.049675,22000
Santchou,5.281565,9.976098,22000
Mayo-Baléo,7.662773,12.329942,22000
Guidiguis,10.134949,14.707282,22000
Guirvidig,10.888165,14.833524,22000
Maga,10.841601,14.952686,22000
Ngaoundal,6.468342,13.2693,22000
Moulvoudaye,10.408197,14.854632,22000
Baschéo,9.671261,13.373708,22000
Gashiga,9.432272,13.36478,22000
Pétté,10.971987,14.497351,22000
Batchenga,4.286683,11.654341,22000
Melong,5.121582,9.949155,22000
Mindourou I,3.564443,13.404397,22000
Ngomedzap,3.265119,11.200636,22000
Batié,5.31349,10.324157,22000
Penka-Michel,5.468334,10.24131,22000
Makary,12.577143,14.45648,22000
Hilé-Alifa,12.690419,14.320795,22000
Kala Kafra,12.092784,14.840709,22000
Bangam,5.34088,10.258992,22000
Matomb,3.822117,11.060845,22000
Lobo,3.895525,11.229016,22000
Bondjock,3.612447,11.108723,22000
Bikop,3.528746,11.415028,22000
Kékem,5.157671,10.019309,22000
Elig-Mfomo,4.160359,11.351969,22000
Yoko,5.540681,12.318634,22000
Messondo,3.694709,10.451173,22000
Pouma,3.854626,10.525192,22000
Doumé,4.240062,13.452971,22000
Mbang,3.969228,14.268,22000
Bandja,5.264994,10.228846,22000
Bembon,3.414345,14.545893,22000
Mbol II,3.445384,14.626805,22000
Bayangam,5.297665,10.464163,22000
Mayo-Oulo,9.965942,13.616433,22000
Ngog-Mapubi,3.947143,10.837785,22000
Dibang,3.998413,10.718878,22000
Awaé,3.89961,11.883424,22000
Ombessa,4.603044,11.256546,22000
Massangam,5.425851,11.001855,22000
